Time,Treatment,OD_600
0,Water,0.086
0,SSE,0.088
0,P4_SSE,0.169
0,P4_SSE,0.161
0,Water,0.085
0,SSE,0.088
0,P4_SSE,0.158
0,P4_SSE,0.155
0,Water,0.085
0,SSE,0.088
0,P4_SSE,0.154
0,P4_SSE,0.152
1,Water,0.085
1,SSE,0.087
1,P4_SSE,0.161
1,P4_SSE,0.154
1,Water,0.085
1,SSE,0.087
1,P4_SSE,0.151
1,P4_SSE,0.152
1,Water,0.084
1,SSE,0.089
1,P4_SSE,0.15
1,P4_SSE,0.15
2,Water,0.085
2,SSE,0.086
2,P4_SSE,0.16
2,P4_SSE,0.152
2,Water,0.084
2,SSE,0.087
2,P4_SSE,0.153
2,P4_SSE,0.152
2,Water,0.084
2,SSE,0.088
2,P4_SSE,0.149
2,P4_SSE,0.15
3,Water,0.085
3,SSE,0.087
3,P4_SSE,0.169
3,P4_SSE,0.161
3,Water,0.085
3,SSE,0.088
3,P4_SSE,0.161
3,P4_SSE,0.162
3,Water,0.085
3,SSE,0.089
3,P4_SSE,0.158
3,P4_SSE,0.157
4,Water,0.085
4,SSE,0.089
4,P4_SSE,0.189
4,P4_SSE,0.18
4,Water,0.084
4,SSE,0.091
4,P4_SSE,0.181
4,P4_SSE,0.182
4,Water,0.085
4,SSE,0.091
4,P4_SSE,0.182
4,P4_SSE,0.181
5,Water,0.085
5,SSE,0.102
5,P4_SSE,0.222
5,P4_SSE,0.213
5,Water,0.084
5,SSE,0.109
5,P4_SSE,0.215
5,P4_SSE,0.216
5,Water,0.085
5,SSE,0.109
5,P4_SSE,0.217
5,P4_SSE,0.215
6,Water,0.084
6,SSE,0.134
6,P4_SSE,0.27
6,P4_SSE,0.255
6,Water,0.084
6,SSE,0.174
6,P4_SSE,0.265
6,P4_SSE,0.269
6,Water,0.085
6,SSE,0.151
6,P4_SSE,0.25
6,P4_SSE,0.259
7,Water,0.085
7,SSE,0.151
7,P4_SSE,0.296
7,P4_SSE,0.282
7,Water,0.084
7,SSE,0.219
7,P4_SSE,0.316
7,P4_SSE,0.289
7,Water,0.085
7,SSE,0.153
7,P4_SSE,0.264
7,P4_SSE,0.266
8,Water,0.085
8,SSE,0.156
8,P4_SSE,0.301
8,P4_SSE,0.296
8,Water,0.084
8,SSE,0.256
8,P4_SSE,0.277
8,P4_SSE,0.282
8,Water,0.085
8,SSE,0.198
8,P4_SSE,0.284
8,P4_SSE,0.271
9,Water,0.085
9,SSE,0.2
9,P4_SSE,0.312
9,P4_SSE,0.309
9,Water,0.085
9,SSE,0.337
9,P4_SSE,0.296
9,P4_SSE,0.263
9,Water,0.085
9,SSE,0.2
9,P4_SSE,0.296
9,P4_SSE,0.286
10,Water,0.085
10,SSE,0.252
10,P4_SSE,0.31
10,P4_SSE,0.3
10,Water,0.084
10,SSE,0.38
10,P4_SSE,0.277
10,P4_SSE,0.263
10,Water,0.085
10,SSE,0.209
10,P4_SSE,0.282
10,P4_SSE,0.294
11,Water,0.085
11,SSE,0.257
11,P4_SSE,0.311
11,P4_SSE,0.323
11,Water,0.085
11,SSE,0.411
11,P4_SSE,0.256
11,P4_SSE,0.27
11,Water,0.085
11,SSE,0.256
11,P4_SSE,0.277
11,P4_SSE,0.292
12,Water,0.085
12,SSE,0.219
12,P4_SSE,0.313
12,P4_SSE,0.295
12,Water,0.085
12,SSE,0.447
12,P4_SSE,0.263
12,P4_SSE,0.275
12,Water,0.085
12,SSE,0.288
12,P4_SSE,0.28
12,P4_SSE,0.301
13,Water,0.085
13,SSE,0.242
13,P4_SSE,0.312
13,P4_SSE,0.304
13,Water,0.085
13,SSE,0.387
13,P4_SSE,0.269
13,P4_SSE,0.281
13,Water,0.085
13,SSE,0.316
13,P4_SSE,0.286
13,P4_SSE,0.306
14,Water,0.085
14,SSE,0.271
14,P4_SSE,0.312
14,P4_SSE,0.314
14,Water,0.085
14,SSE,0.31
14,P4_SSE,0.276
14,P4_SSE,0.284
14,Water,0.085
14,SSE,0.334
14,P4_SSE,0.288
14,P4_SSE,0.313
15,Water,0.085
15,SSE,0.345
15,P4_SSE,0.317
15,P4_SSE,0.32
15,Water,0.085
15,SSE,0.348
15,P4_SSE,0.28
15,P4_SSE,0.286
15,Water,0.085
15,SSE,0.302
15,P4_SSE,0.296
15,P4_SSE,0.318
16,Water,0.085
16,SSE,0.438
16,P4_SSE,0.32
16,P4_SSE,0.324
16,Water,0.086
16,SSE,0.404
16,P4_SSE,0.286
16,P4_SSE,0.293
16,Water,0.084
16,SSE,0.24
16,P4_SSE,0.301
16,P4_SSE,0.323
17,Water,0.085
17,SSE,0.485
17,P4_SSE,0.326
17,P4_SSE,0.331
17,Water,0.085
17,SSE,0.453
17,P4_SSE,0.29
17,P4_SSE,0.294
17,Water,0.084
17,SSE,0.245
17,P4_SSE,0.309
17,P4_SSE,0.329
18,Water,0.085
18,SSE,0.502
18,P4_SSE,0.332
18,P4_SSE,0.333
18,Water,0.086
18,SSE,0.451
18,P4_SSE,0.294
18,P4_SSE,0.298
18,Water,0.085
18,SSE,0.265
18,P4_SSE,0.311
18,P4_SSE,0.335
19,Water,0.085
19,SSE,0.503
19,P4_SSE,0.336
19,P4_SSE,0.337
19,Water,0.086
19,SSE,0.429
19,P4_SSE,0.299
19,P4_SSE,0.299
19,Water,0.086
19,SSE,0.225
19,P4_SSE,0.318
19,P4_SSE,0.341
20,Water,0.085
20,SSE,0.563
20,P4_SSE,0.34
20,P4_SSE,0.34
20,Water,0.086
20,SSE,0.395
20,P4_SSE,0.301
20,P4_SSE,0.304
20,Water,0.085
20,SSE,0.188
20,P4_SSE,0.318
20,P4_SSE,0.343
21,Water,0.086
21,SSE,0.604
21,P4_SSE,0.344
21,P4_SSE,0.344
21,Water,0.086
21,SSE,0.276
21,P4_SSE,0.308
21,P4_SSE,0.308
21,Water,0.085
21,SSE,0.187
21,P4_SSE,0.324
21,P4_SSE,0.347
22,Water,0.086
22,SSE,0.471
22,P4_SSE,0.348
22,P4_SSE,0.347
22,Water,0.086
22,SSE,0.209
22,P4_SSE,0.314
22,P4_SSE,0.307
22,Water,0.085
22,SSE,0.186
22,P4_SSE,0.328
22,P4_SSE,0.35
