Time,Treatment,OD_600
0,Water,0.083
1,Water,0.083
2,Water,0.083
3,Water,0.083
4,Water,0.083
5,Water,0.083
6,Water,0.083
7,Water,0.083
8,Water,0.083
9,Water,0.083
10,Water,0.083
11,Water,0.083
12,Water,0.083
13,Water,0.083
14,Water,0.083
15,Water,0.084
16,Water,0.083
17,Water,0.083
18,Water,0.083
19,Water,0.083
20,Water,0.084
21,Water,0.084
22,Water,0.083
23,Water,0.083
24,Water,0.083
0,Water,0.084
1,Water,0.083
2,Water,0.083
3,Water,0.083
4,Water,0.083
5,Water,0.084
6,Water,0.084
7,Water,0.084
8,Water,0.084
9,Water,0.085
10,Water,0.084
11,Water,0.084
12,Water,0.084
13,Water,0.084
14,Water,0.083
15,Water,0.084
16,Water,0.084
17,Water,0.084
18,Water,0.084
19,Water,0.084
20,Water,0.084
21,Water,0.084
22,Water,0.085
23,Water,0.084
24,Water,0.084
0,Water,0.084
1,Water,0.084
2,Water,0.084
3,Water,0.084
4,Water,0.084
5,Water,0.084
6,Water,0.084
7,Water,0.084
8,Water,0.084
9,Water,0.084
10,Water,0.083
11,Water,0.083
12,Water,0.084
13,Water,0.084
14,Water,0.084
15,Water,0.084
16,Water,0.084
17,Water,0.084
18,Water,0.084
19,Water,0.084
20,Water,0.084
21,Water,0.084
22,Water,0.084
23,Water,0.085
24,Water,0.085
0,SSE,0.083
1,SSE,0.083
2,SSE,0.083
3,SSE,0.083
4,SSE,0.082
5,SSE,0.083
6,SSE,0.082
7,SSE,0.083
8,SSE,0.083
9,SSE,0.083
10,SSE,0.083
11,SSE,0.083
12,SSE,0.083
13,SSE,0.083
14,SSE,0.082
15,SSE,0.083
16,SSE,0.083
17,SSE,0.083
18,SSE,0.082
19,SSE,0.082
20,SSE,0.083
21,SSE,0.083
22,SSE,0.083
23,SSE,0.083
24,SSE,0.083
0,SSE,0.082
1,SSE,0.082
2,SSE,0.082
3,SSE,0.082
4,SSE,0.082
5,SSE,0.082
6,SSE,0.082
7,SSE,0.082
8,SSE,0.082
9,SSE,0.082
10,SSE,0.082
11,SSE,0.082
12,SSE,0.082
13,SSE,0.082
14,SSE,0.082
15,SSE,0.082
16,SSE,0.082
17,SSE,0.082
18,SSE,0.082
19,SSE,0.082
20,SSE,0.082
21,SSE,0.082
22,SSE,0.082
23,SSE,0.082
24,SSE,0.082
0,SSE,0.083
1,SSE,0.083
2,SSE,0.083
3,SSE,0.083
4,SSE,0.083
5,SSE,0.083
6,SSE,0.083
7,SSE,0.084
8,SSE,0.083
9,SSE,0.084
10,SSE,0.083
11,SSE,0.083
12,SSE,0.083
13,SSE,0.083
14,SSE,0.083
15,SSE,0.084
16,SSE,0.083
17,SSE,0.083
18,SSE,0.083
19,SSE,0.083
20,SSE,0.084
21,SSE,0.084
22,SSE,0.083
23,SSE,0.084
24,SSE,0.084
0,P4_SSE,0.181
1,P4_SSE,0.185
2,P4_SSE,0.179
3,P4_SSE,0.181
4,P4_SSE,0.188
5,P4_SSE,0.198
6,P4_SSE,0.232
7,P4_SSE,0.286
8,P4_SSE,0.338
9,P4_SSE,0.415
10,P4_SSE,0.463
11,P4_SSE,0.469
12,P4_SSE,0.538
13,P4_SSE,0.581
14,P4_SSE,0.586
15,P4_SSE,0.596
16,P4_SSE,0.545
17,P4_SSE,0.528
18,P4_SSE,0.481
19,P4_SSE,0.412
20,P4_SSE,0.369
21,P4_SSE,0.368
22,P4_SSE,0.365
23,P4_SSE,0.339
24,P4_SSE,0.382
0,P4_SSE,0.18
1,P4_SSE,0.191
2,P4_SSE,0.187
3,P4_SSE,0.19
4,P4_SSE,0.197
5,P4_SSE,0.205
6,P4_SSE,0.19
7,P4_SSE,0.286
8,P4_SSE,0.24
9,P4_SSE,0.28
10,P4_SSE,0.314
11,P4_SSE,0.293
12,P4_SSE,0.264
13,P4_SSE,0.238
14,P4_SSE,0.211
15,P4_SSE,0.215
16,P4_SSE,0.237
17,P4_SSE,0.251
18,P4_SSE,0.252
19,P4_SSE,0.246
20,P4_SSE,0.242
21,P4_SSE,0.242
22,P4_SSE,0.25
23,P4_SSE,0.259
24,P4_SSE,0.271
0,P4_SSE,0.163
1,P4_SSE,0.167
2,P4_SSE,0.165
3,P4_SSE,0.168
4,P4_SSE,0.175
5,P4_SSE,0.194
6,P4_SSE,0.255
7,P4_SSE,0.293
8,P4_SSE,0.302
9,P4_SSE,0.322
10,P4_SSE,0.448
11,P4_SSE,0.455
12,P4_SSE,0.487
13,P4_SSE,0.5
14,P4_SSE,0.425
15,P4_SSE,0.349
16,P4_SSE,0.315
17,P4_SSE,0.304
18,P4_SSE,0.298
19,P4_SSE,0.287
20,P4_SSE,0.292
21,P4_SSE,0.302
22,P4_SSE,0.314
23,P4_SSE,0.328
24,P4_SSE,0.332
0,P4_SSE,0.177
1,P4_SSE,0.189
2,P4_SSE,0.185
3,P4_SSE,0.189
4,P4_SSE,0.204
5,P4_SSE,0.247
6,P4_SSE,0.32
7,P4_SSE,0.251
8,P4_SSE,0.243
9,P4_SSE,0.234
10,P4_SSE,0.303
11,P4_SSE,0.394
12,P4_SSE,0.428
13,P4_SSE,0.437
14,P4_SSE,0.417
15,P4_SSE,0.378
16,P4_SSE,0.349
17,P4_SSE,0.312
18,P4_SSE,0.3
19,P4_SSE,0.277
20,P4_SSE,0.287
21,P4_SSE,0.3
22,P4_SSE,0.286
23,P4_SSE,0.308
24,P4_SSE,0.319
0,P4_SSE,0.164
1,P4_SSE,0.163
2,P4_SSE,0.161
3,P4_SSE,0.164
4,P4_SSE,0.177
5,P4_SSE,0.202
6,P4_SSE,0.272
7,P4_SSE,0.284
8,P4_SSE,0.333
9,P4_SSE,0.322
10,P4_SSE,0.308
11,P4_SSE,0.32
12,P4_SSE,0.331
13,P4_SSE,0.344
14,P4_SSE,0.358
15,P4_SSE,0.351
16,P4_SSE,0.341
17,P4_SSE,0.336
18,P4_SSE,0.331
19,P4_SSE,0.331
20,P4_SSE,0.338
21,P4_SSE,0.348
22,P4_SSE,0.348
23,P4_SSE,0.353
24,P4_SSE,0.341
0,P4_SSE,0.168
1,P4_SSE,0.177
2,P4_SSE,0.174
3,P4_SSE,0.178
4,P4_SSE,0.184
5,P4_SSE,0.23
6,P4_SSE,0.295
7,P4_SSE,0.261
8,P4_SSE,0.325
9,P4_SSE,0.405
10,P4_SSE,0.483
11,P4_SSE,0.514
12,P4_SSE,0.478
13,P4_SSE,0.356
14,P4_SSE,0.288
15,P4_SSE,0.257
16,P4_SSE,0.236
17,P4_SSE,0.235
18,P4_SSE,0.246
19,P4_SSE,0.252
20,P4_SSE,0.258
21,P4_SSE,0.261
22,P4_SSE,0.266
23,P4_SSE,0.267
24,P4_SSE,0.28
