Time,Treatment,OD_600
0,SSE,0.084
1,SSE,0.084
2,SSE,0.083
3,SSE,0.083
4,SSE,0.084
5,SSE,0.084
6,SSE,0.084
7,SSE,0.084
8,SSE,0.084
9,SSE,0.085
10,SSE,0.084
11,SSE,0.085
12,SSE,0.085
13,SSE,0.085
14,SSE,0.084
15,SSE,0.084
16,SSE,0.085
17,SSE,0.084
18,SSE,0.084
19,SSE,0.084
20,SSE,0.084
21,SSE,0.084
22,SSE,0.084
0,SSE,0.084
1,SSE,0.084
2,SSE,0.084
3,SSE,0.084
4,SSE,0.084
5,SSE,0.084
6,SSE,0.084
7,SSE,0.084
8,SSE,0.084
9,SSE,0.084
10,SSE,0.084
11,SSE,0.084
12,SSE,0.084
13,SSE,0.084
14,SSE,0.084
15,SSE,0.084
16,SSE,0.084
17,SSE,0.084
18,SSE,0.084
19,SSE,0.084
20,SSE,0.084
21,SSE,0.084
22,SSE,0.084
0,SSE,0.084
1,SSE,0.084
2,SSE,0.084
3,SSE,0.084
4,SSE,0.085
5,SSE,0.084
6,SSE,0.084
7,SSE,0.085
8,SSE,0.085
9,SSE,0.087
10,SSE,0.089
11,SSE,0.084
12,SSE,0.084
13,SSE,0.084
14,SSE,0.085
15,SSE,0.088
16,SSE,0.085
17,SSE,0.084
18,SSE,0.085
19,SSE,0.087
20,SSE,0.086
21,SSE,0.085
22,SSE,0.086
0,P4_SSE,0.216
1,P4_SSE,0.238
2,P4_SSE,0.231
3,P4_SSE,0.223
4,P4_SSE,0.233
5,P4_SSE,0.255
6,P4_SSE,0.296
7,P4_SSE,0.296
8,P4_SSE,0.175
9,P4_SSE,0.137
10,P4_SSE,0.162
11,P4_SSE,0.176
12,P4_SSE,0.198
13,P4_SSE,0.23
14,P4_SSE,0.25
15,P4_SSE,0.259
16,P4_SSE,0.258
17,P4_SSE,0.247
18,P4_SSE,0.248
19,P4_SSE,0.247
20,P4_SSE,0.246
21,P4_SSE,0.243
22,P4_SSE,0.245
0,P4_SSE,0.214
1,P4_SSE,0.25
2,P4_SSE,0.243
3,P4_SSE,0.234
4,P4_SSE,0.241
5,P4_SSE,0.256
6,P4_SSE,0.263
7,P4_SSE,0.184
8,P4_SSE,0.192
9,P4_SSE,0.239
10,P4_SSE,0.104
11,P4_SSE,0.112
12,P4_SSE,0.128
13,P4_SSE,0.145
14,P4_SSE,0.161
15,P4_SSE,0.163
16,P4_SSE,0.164
17,P4_SSE,0.169
18,P4_SSE,0.173
19,P4_SSE,0.18
20,P4_SSE,0.184
21,P4_SSE,0.191
22,P4_SSE,0.196
0,P4_SSE,0.208
1,P4_SSE,0.244
2,P4_SSE,0.237
3,P4_SSE,0.23
4,P4_SSE,0.242
5,P4_SSE,0.27
6,P4_SSE,0.292
7,P4_SSE,0.456
8,P4_SSE,0.323
9,P4_SSE,0.16
10,P4_SSE,0.177
11,P4_SSE,0.255
12,P4_SSE,0.378
13,P4_SSE,0.405
14,P4_SSE,0.423
15,P4_SSE,0.442
16,P4_SSE,0.458
17,P4_SSE,0.475
18,P4_SSE,0.482
19,P4_SSE,0.487
20,P4_SSE,0.49
21,P4_SSE,0.493
22,P4_SSE,0.497
