Time,Treatment,OD_600
0,SSE,0.085
1,SSE,0.085
2,SSE,0.085
3,SSE,0.084
4,SSE,0.085
5,SSE,0.085
6,SSE,0.085
7,SSE,0.085
8,SSE,0.085
9,SSE,0.085
10,SSE,0.086
11,SSE,0.086
12,SSE,0.086
13,SSE,0.086
14,SSE,0.086
15,SSE,0.086
16,SSE,0.086
17,SSE,0.086
18,SSE,0.086
19,SSE,0.086
20,SSE,0.086
21,SSE,0.086
22,SSE,0.086
23,SSE,0.085
24,SSE,0.086
0,SSE,0.083
1,SSE,0.083
2,SSE,0.083
3,SSE,0.083
4,SSE,0.083
5,SSE,0.083
6,SSE,0.084
7,SSE,0.084
8,SSE,0.085
9,SSE,0.085
10,SSE,0.086
11,SSE,0.086
12,SSE,0.086
13,SSE,0.086
14,SSE,0.086
15,SSE,0.087
16,SSE,0.087
17,SSE,0.088
18,SSE,0.087
19,SSE,0.087
20,SSE,0.087
21,SSE,0.087
22,SSE,0.087
23,SSE,0.087
24,SSE,0.087
0,SSE,0.09
1,SSE,0.089
2,SSE,0.09
3,SSE,0.091
4,SSE,0.09
5,SSE,0.09
6,SSE,0.09
7,SSE,0.091
8,SSE,0.091
9,SSE,0.092
10,SSE,0.093
11,SSE,0.093
12,SSE,0.093
13,SSE,0.093
14,SSE,0.093
15,SSE,0.093
16,SSE,0.093
17,SSE,0.093
18,SSE,0.093
19,SSE,0.093
20,SSE,0.093
21,SSE,0.094
22,SSE,0.094
23,SSE,0.093
24,SSE,0.093
0,P4_SSE,0.164
1,P4_SSE,0.155
2,P4_SSE,0.149
3,P4_SSE,0.149
4,P4_SSE,0.151
5,P4_SSE,0.16
6,P4_SSE,0.144
7,P4_SSE,0.145
8,P4_SSE,0.195
9,P4_SSE,0.232
10,P4_SSE,0.184
11,P4_SSE,0.234
12,P4_SSE,0.202
13,P4_SSE,0.293
14,P4_SSE,0.319
15,P4_SSE,0.312
16,P4_SSE,0.307
17,P4_SSE,0.302
18,P4_SSE,0.306
19,P4_SSE,0.313
20,P4_SSE,0.326
21,P4_SSE,0.332
22,P4_SSE,0.336
23,P4_SSE,0.344
24,P4_SSE,0.35
0,P4_SSE,0.168
1,P4_SSE,0.17
2,P4_SSE,0.166
3,P4_SSE,0.165
4,P4_SSE,0.168
5,P4_SSE,0.18
6,P4_SSE,0.216
7,P4_SSE,0.231
8,P4_SSE,0.25
9,P4_SSE,0.26
10,P4_SSE,0.268
11,P4_SSE,0.382
12,P4_SSE,0.371
13,P4_SSE,0.339
14,P4_SSE,0.372
15,P4_SSE,0.413
16,P4_SSE,0.434
17,P4_SSE,0.447
18,P4_SSE,0.461
19,P4_SSE,0.47
20,P4_SSE,0.476
21,P4_SSE,0.48
22,P4_SSE,0.487
23,P4_SSE,0.495
24,P4_SSE,0.501
0,P4_SSE,0.154
1,P4_SSE,0.164
2,P4_SSE,0.162
3,P4_SSE,0.161
4,P4_SSE,0.167
5,P4_SSE,0.183
6,P4_SSE,0.179
7,P4_SSE,0.143
8,P4_SSE,0.157
9,P4_SSE,0.234
10,P4_SSE,0.273
11,P4_SSE,0.222
12,P4_SSE,0.207
13,P4_SSE,0.174
14,P4_SSE,0.175
15,P4_SSE,0.181
16,P4_SSE,0.196
17,P4_SSE,0.211
18,P4_SSE,0.22
19,P4_SSE,0.231
20,P4_SSE,0.244
21,P4_SSE,0.257
22,P4_SSE,0.265
23,P4_SSE,0.277
24,P4_SSE,0.289
