Time,Treatment,OD_600
0,SSE,0.085
1,SSE,0.084
2,SSE,0.084
3,SSE,0.084
4,SSE,0.084
5,SSE,0.084
6,SSE,0.085
7,SSE,0.085
8,SSE,0.085
9,SSE,0.086
10,SSE,0.087
11,SSE,0.088
12,SSE,0.089
13,SSE,0.089
14,SSE,0.089
15,SSE,0.089
16,SSE,0.09
17,SSE,0.09
18,SSE,0.091
19,SSE,0.092
20,SSE,0.093
21,SSE,0.094
22,SSE,0.095
23,SSE,0.097
0,SSE,0.082
1,SSE,0.082
2,SSE,0.082
3,SSE,0.082
4,SSE,0.082
5,SSE,0.082
6,SSE,0.082
7,SSE,0.083
8,SSE,0.083
9,SSE,0.084
10,SSE,0.085
11,SSE,0.086
12,SSE,0.087
13,SSE,0.088
14,SSE,0.088
15,SSE,0.089
16,SSE,0.09
17,SSE,0.091
18,SSE,0.097
19,SSE,0.098
20,SSE,0.099
21,SSE,0.101
22,SSE,0.103
23,SSE,0.106
0,SSE,0.083
1,SSE,0.083
2,SSE,0.083
3,SSE,0.083
4,SSE,0.083
5,SSE,0.084
6,SSE,0.084
7,SSE,0.084
8,SSE,0.085
9,SSE,0.086
10,SSE,0.087
11,SSE,0.088
12,SSE,0.09
13,SSE,0.09
14,SSE,0.091
15,SSE,0.092
16,SSE,0.092
17,SSE,0.093
18,SSE,0.096
19,SSE,0.098
20,SSE,0.101
21,SSE,0.102
22,SSE,0.106
23,SSE,0.11
0,P4_SSE,0.162
1,P4_SSE,0.165
2,P4_SSE,0.166
3,P4_SSE,0.181
4,P4_SSE,0.211
5,P4_SSE,0.267
6,P4_SSE,0.306
7,P4_SSE,0.246
8,P4_SSE,0.136
9,P4_SSE,0.097
10,P4_SSE,0.163
11,P4_SSE,0.235
12,P4_SSE,0.282
13,P4_SSE,0.351
14,P4_SSE,0.375
15,P4_SSE,0.389
16,P4_SSE,0.4
17,P4_SSE,0.404
18,P4_SSE,0.407
19,P4_SSE,0.414
20,P4_SSE,0.426
21,P4_SSE,0.431
22,P4_SSE,0.429
23,P4_SSE,0.429
0,P4_SSE,0.151
1,P4_SSE,0.152
2,P4_SSE,0.153
3,P4_SSE,0.164
4,P4_SSE,0.187
5,P4_SSE,0.239
6,P4_SSE,0.236
7,P4_SSE,0.16
8,P4_SSE,0.152
9,P4_SSE,0.111
10,P4_SSE,0.203
11,P4_SSE,0.26
12,P4_SSE,0.293
13,P4_SSE,0.347
14,P4_SSE,0.381
15,P4_SSE,0.418
16,P4_SSE,0.423
17,P4_SSE,0.431
18,P4_SSE,0.434
19,P4_SSE,0.437
20,P4_SSE,0.439
21,P4_SSE,0.438
22,P4_SSE,0.436
23,P4_SSE,0.435
0,P4_SSE,0.152
1,P4_SSE,0.153
2,P4_SSE,0.154
3,P4_SSE,0.166
4,P4_SSE,0.196
5,P4_SSE,0.255
6,P4_SSE,0.291
7,P4_SSE,0.286
8,P4_SSE,0.219
9,P4_SSE,0.192
10,P4_SSE,0.249
11,P4_SSE,0.266
12,P4_SSE,0.321
13,P4_SSE,0.34
14,P4_SSE,0.341
15,P4_SSE,0.329
16,P4_SSE,0.328
17,P4_SSE,0.344
18,P4_SSE,0.333
19,P4_SSE,0.319
20,P4_SSE,0.321
21,P4_SSE,0.32
22,P4_SSE,0.319
23,P4_SSE,0.322
0,P4_SSE,0.15
1,P4_SSE,0.147
2,P4_SSE,0.15
